synagogue_id,synagogue_name,status,founded_year,founded_text,closed_year,closed_text,street_address,neighborhood,city,state,zip_code,latitude,longitude,address_is_current,rabbi_name,rabbi_title,rabbi_start_year,rabbi_end_year,history_content,entry_type,history_year
1ef846bd-e5ed-41af-a3ba-bcd5f5d1b4a2,Adath Jeshurun,active,1854,1854,null,Active,2109 N Broad St,null,Philadelphia,PA,null,null,null,false,Seymour Rosenbloom,null,null,null,"Founded by Wolf Ettinger and Moses Blumenthal with services held at Horner's Hall, 3rd & Brown. Purchased land in Frankford for a burial ground. In 1865 acquired synagogue building at NewMarket & Noble Sts. from Keneseth Israel . Ten years later moved to the Juliana St. Synagogue & merged with Adas Israel. Built a synagogue in 1885 at 7th & Columbia. Dedicated larger building at Broad & Diamond in 1912; enlarged and rededicated in 1926. Present Synagogue in Elkins Park was dedicated in 1964. By the early 1880's, had Reform orientation, and by 1900 under rabbi Klein, became Conservative. [Central European & German- speaking]",ethnic_origin,null
1ef846bd-e5ed-41af-a3ba-bcd5f5d1b4a2,Adath Jeshurun,active,1854,1854,null,Active,3rd & Brown Sts,null,Philadelphia,PA,null,null,null,false,Seymour Rosenbloom,null,null,null,"Founded by Wolf Ettinger and Moses Blumenthal with services held at Horner's Hall, 3rd & Brown. Purchased land in Frankford for a burial ground. In 1865 acquired synagogue building at NewMarket & Noble Sts. from Keneseth Israel . Ten years later moved to the Juliana St. Synagogue & merged with Adas Israel. Built a synagogue in 1885 at 7th & Columbia. Dedicated larger building at Broad & Diamond in 1912; enlarged and rededicated in 1926. Present Synagogue in Elkins Park was dedicated in 1964. By the early 1880's, had Reform orientation, and by 1900 under rabbi Klein, became Conservative. [Central European & German- speaking]",ethnic_origin,null
1ef846bd-e5ed-41af-a3ba-bcd5f5d1b4a2,Adath Jeshurun,active,1854,1854,null,Active,7th St & Columbia Ave,null,Philadelphia,PA,null,null,null,false,Seymour Rosenbloom,null,null,null,"Founded by Wolf Ettinger and Moses Blumenthal with services held at Horner's Hall, 3rd & Brown. Purchased land in Frankford for a burial ground. In 1865 acquired synagogue building at NewMarket & Noble Sts. from Keneseth Israel . Ten years later moved to the Juliana St. Synagogue & merged with Adas Israel. Built a synagogue in 1885 at 7th & Columbia. Dedicated larger building at Broad & Diamond in 1912; enlarged and rededicated in 1926. Present Synagogue in Elkins Park was dedicated in 1964. By the early 1880's, had Reform orientation, and by 1900 under rabbi Klein, became Conservative. [Central European & German- speaking]",ethnic_origin,null
cb8558a8-5832-4146-ae6c-7de003c5df28,Adath Jeshurun Havurah,unknown,null,null,null,null,7763 Old York Rd,West Oak Lane,Philadelphia,PA,null,40.07014230,-75.13321090,true,null,null,null,null,null,null,null
ff391012-fb4d-4ca1-b990-a7bef4a7ef68,"Adath Jeshurun Talmud Torah Congregation. Also, Ezras Israel; [The] Carpenter's Shul",closed,1918,1918,1962,1962,2113 S. 6th St (at Cantrell St),null,Philadelphia,PA,null,39.95272370,-75.16352620,true,null,null,null,null,Trade Shul of master carpenters known as The Carpenters' Shul Combined with Shivtei Yeshurun (of 2014 S. 4th) in 1962; became Ezras Israel 3 row home containing the synagogue and a Talmud Torah. Central Bimah. Ladies' Balcony on 2nd floor. Use of embossed brick with donor names on building exterior. Subsequent use by an African-American church.,general,null
04b022de-2b71-4040-8786-b8dca04256a0,Adath Shalom,unknown,1956,1956,null,null,8022 Rugby St,null,Philadelphia,PA,19150,40.07114371,-75.17160867,true,null,null,null,null,Traditionalists who broke away from the West Oak Lane Jewish Community Center. Services led by Leo Landsman at his home.,general,null
04b022de-2b71-4040-8786-b8dca04256a0,Adath Shalom,unknown,1956,1956,null,null,607 Ritner St          (at Marshall St),null,Philadelphia,PA,null,39.95272370,-75.16352620,true,null,null,null,null,Traditionalists who broke away from the West Oak Lane Jewish Community Center. Services led by Leo Landsman at his home.,general,null
3390d514-9991-405c-bbbe-b9d6c305ccf6,Adath Shalom.,unknown,1950,1950's,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Formed in '50's from combination of Young People's Shaare Israel, Young People of Beth Samuel, Young People of B'nai Moishe",general,null
60dbb1b5-8ddd-4c23-bfa7-a0e7d0e6cf06,Adath Tikvah - Montefiore,unknown,null,null,null,null,1630 Hoffnagle St,null,Philadelphia,PA,19152,40.06910763,-75.05921712,true,null,null,null,null,null,null,null
25263956-5acd-4e82-9eec-6c2f5b8fc6c3,Adath Tikvah of Whitaker Ave,unknown,1961,[1972],null,null,7838 Whitaker Ave,null,Philadelphia,PA,19111,40.06546000,-75.06976456,true,null,null,null,null,A stiebl Shul held at home of rabbi Freifelder. Disbanded when rabbi died in 1972.,general,null
c737533e-081c-44d1-8249-96700a68c0a3,"Adath Zion Synagogue. See, Frankford Hebrew Congregation",closed,1894,1894,2008,2008,7101 Pennway St (@ Friendship St),null,Philadelphia,PA,null,39.95272370,-75.16352620,true,Steve Sacks,null,null,null,First written records from 1924. Moved from Frankford (home of rabbi Kramer at 4334 Paul St). Moved to current location in 1955. Closed 11/11/2008 and merged with Ner Zedek-Ezrath Israel-Beth Uziel,general,null
