synagogue,full_address,years
Temple Israel,"1951 Upland Way; Philadelphia, PA",1950-1954
Temple Judea of Bucks County,"38 Rogers Road; Furlong, PA",2017
Fox Chase Jewish Community Center,"4301 Tyson Avenue; Philadelphia, PA 19135",1951-2017
Temple Shalom,"Edgely Road off Mill Creek Parkway; Levittown, PA",1961-1982
Temple Shalom,"Large Street and Roosevelt Boulevard; Philadelphia, PA",1950-2003
Temple Shalom,"55 North Church Lane; Broomall, PA 19008",1961-2017
Temple Sinai,"Washington Lane and Limekiln Pike; Philadelphia, PA",1950-1978
Temple Sinai,"1401 Limekiln Pike; Dresher, PA",1993-2017
Temple Zion,"650 Edison Avenue; Sommerton, PA",1960-1963
Tiferet Bet Israel,"1541 Powell Street; Norristown, PA",1989
Tifereth Israel Anshe Lita,"Sixth and Dickinson Streets; Philadelphia, PA",1961-1965
Tifereth Israel Anshe Lita,"2300 South Sixth Street; Philadelphia, PA",1966-1970
Tikvas Israel,"41st Street and Parkside Avenue; Philadelphia, PA",1950-1969
Tikvas Israel,"42nd and Viola Streets; Philadelphia, PA",1970-1971
Tzedek V'Shalom,"PO Box 863; Newtown, PA 18940",1996-2017
West Oak Lane Jewish Community Center,"Thouron and Sedgewick Streets; Philadelphia, PA",1959-1976
West Oak Lane Jewish Community Center,"115 West Avenue; Jenkintown, PA",1977
West Philadelphia Jewish Community Center,"63rd and Ludlow Streets; Philadelphia, PA",1936-1961
Fox Chase Jewish Community Center,"Conshohocken and Windermere Avenues; Philadelphia, PA",1964-1965
Fox Chase Jewish Community Center,"3926 Conshohocken Avenue; Philadelphia, PA",1966-1977
Congregation,"401 South Broad Street; Philadelphia, PA 19147",1961-2008
Yeadon Jewish Community Center,"West Cobbs Creek Parkway and Whitby Avenue; Yeadon, PA",1961-1990
Young Israel of Elkins Park,"503 Spring Road; Elikins Park, PA",1991-1992
Young People's Congregation - Shari Eli.,342 Porter Street; Philadelphia,1955-1961
Young People's Congregation - Shari Eli.,"Franklin Street and Moyamensing Avenue; Philadelphia, PA",1972-1982
Beth El,"2901 West Chapel Avenue; Cherry Hill, NJ 08002",1970-
Beth El,"8000 Main Street; Voorhees, NJ 08043",2008-2017
Beth El,"642 Bellevue Avenue; Hammonton, NJ",2009-2017
Brith Israel Congregation,"246 King Street at South Warner Street; Woodbury, NJ",2009-2010
Beth Solomon,"19 White Horse Pike; Haddon Heights, NJ",1940-1953
Beth Solomon,"Green Street at White Horse Pike; Haddon Heights, NJ",1953-1989
Beth Solomon,"1901 Kresson Road; Cherry Hill, NJ",1989-2017
Tiferes B'nai Israel,"212 High Street; Mt. Holly, NJ",1991-2011
Chabad Lubavitch of Bucks County,"1925 Kresson Road; Cherry Hill, NJ",2008-2017
Or Shalom,"Church and Fellowship Roads; Mt, Laurel, NJ",1977
Or Shalom,"850 Evesham Road; Cherry Hill, NJ",1991-2017
Adath Emanu-el,"205 Elbow Lane; Mount Laurel, NJ",1997-2017
Temple Sinai,"2101 New Albany Road; Cinnaminson, NJ",1969-2017
