id,synagogue_id,synagogue_name,street_address,city,state,zip_code,start_year,end_year,source,latitude,longitude,formatted_address,geocode_status
95f4b4b2-1fe7-4158-9c91-8ddb9ee074fe,4dd69d26-9e00-4951-9ae0-dd27b17b573a,Norristown Jewish Community Center,1541 Powell Street,Norristown,PA,19401,1982.0,1988.0,other_addresses,40.1266881,-75.33308029999999,"1541 Powell St, Norristown, PA 19401, USA",OK
6aedffcf-3562-46a6-8935-29c0393f1a13,0a40dde1-29d0-487a-86e2-a05fd9fe77d2,Northeast Orthodox Congregation,2117 Bleigh Avenue,Philadelphia,PA,19152,1961.0,1976.0,other_addresses,40.0517474,-75.0614377,"2117 Bleigh Ave, Philadelphia, PA 19152, USA",OK
ab231b4b-913a-4550-b7a1-66d7fdffbe9a,121ff0ff-406a-4a3a-8083-6bc4f8a3dfdd,Congregation Ohavas Chesed,29 West Rittenhouse Street,Philadelphia,PA,19144,1950.0,1961.0,other_addresses,40.0373733,-75.1773213,"29 W Rittenhouse St, Philadelphia, PA 19144, USA",OK
956f75d2-15d9-45fe-9151-403d7831e49a,3d6d4681-d9aa-49ba-8ab4-2337f70dcb93,Ohel Jacob,West Columbia Avenue,Philadelphia,PA,,1961.0,1964.0,other_addresses,39.9814468,-75.2393632,"W Columbia Ave, Philadelphia, PA, USA",OK
f05dd284-044a-48f1-b71f-7f5068b1d4a3,904f53ff-7211-48bf-b3fc-f236f14ed86c,Congregation Ohel Jacob of Bells Corner,8574 Bustleton Avenue,Philadelphia,PA,19152,1967.0,1969.0,other_addresses,40.0732802,-75.0478124,"8574 Bustleton Ave, Philadelphia, PA 19152, USA",OK
5078f275-4cc5-4421-bf9c-39a546a9690b,904f53ff-7211-48bf-b3fc-f236f14ed86c,Congregation Ohel Jacob of Bells Corner,Bustleton Avenue and Placid Street,Philadelphia,PA,19152,1970.0,1981.0,other_addresses,40.0729822,-75.04757579999999,"Bustleton Ave & Placid St, Philadelphia, PA 19152, USA",OK
f261144e-03bd-439e-841a-7245a84d12c8,47846183-ea5a-4976-9bc3-ce7bc7dc575a,Ohel Jacob of Oxford Circle,Longshore and Castor Avenues; .,Philadelphia,PA,19149,1961.0,1983.0,other_addresses,40.0456398,-75.0714577,"Longshore Ave & Castor Ave, Philadelphia, PA 19149, USA",OK
9da0a5ec-42f8-439f-a579-1300653e0e0e,a84a971f-18bb-4d2a-a995-70a8e9b2debc,Ohev Shalom,Eighth and Welsh Streets,Chester,PA,19013,1961.0,1963.0,other_addresses,39.8515772,-75.3611267,"E 8th St & Welsh St, Chester, PA 19013, USA",OK
a7196bf5-b0e6-48a7-b270-228e9375fa80,a84a971f-18bb-4d2a-a995-70a8e9b2debc,Ohev Shalom,Providence Road,Chester,PA,,1964.0,,other_addresses,39.9491971,-75.4142331,"Providence Rd, Pennsylvania, USA",OK
5a1b06b5-e3a7-4b73-8f70-bd8351c8dd89,a84a971f-18bb-4d2a-a995-70a8e9b2debc,Ohev Shalom,2 Road; Wallingford,Nether Providence Township,PA,19086,1965.0,,other_addresses,39.8932884,-75.36307959999999,"Wallingford, Nether Providence Township, PA 19086, USA",OK
7222c7fb-c7fa-4914-8a7a-22a395a8141d,2029c90e-1d4b-44df-9a99-2c6fdfe6744e,Ohev Shalom of Bucks County,944 Second Street Pike,Richboro,PA,18954,1978.0,,other_addresses,40.2130881,-75.01173279999999,"944 Second Street Pike, Richboro, PA 18954, USA",OK
e52ef81e-0426-4d99-a5b9-a600563d6a4b,cc9d536b-7651-4a0d-bf45-352f9931b236,Ohev Zedek,1355 North 7th Street,Philadelphia,PA,19122,1951.0,1959.0,other_addresses,39.9729629,-75.1474942,"1355 N 7th St, Philadelphia, PA 19122, USA",OK
33bdb947-52e9-41e8-9600-0262be86462e,cc9d536b-7651-4a0d-bf45-352f9931b236,Ohev Zedek,1201 East Mount Pleasant Avenue,Philadelphia,PA,19150,1961.0,1977.0,other_addresses,40.0724865,-75.174792,"1201 E Mt Pleasant Ave, Philadelphia, PA 19150, USA",OK
27b57f37-cd6f-4386-a189-ebd464eef8c7,fa7b1e90-d07e-4998-9b6b-6cf4a80d38cd,Old York Road Temple Beth Am,971 Old York Road,Abington,PA,19001,1959.0,,other_addresses,40.1096515,-75.1223388,"971 Old York Rd, Abington, PA 19001, USA",OK
a8fbdc33-70a8-4177-bed7-1aec8f2af267,d4af4111-7b93-44e7-8892-604fbbf72ebb,Ivy Ridge Jewish Community Center,Manayunk and Krams Avenue,Philadelphia,PA,19128,1949.0,,other_addresses,40.0325111,-75.2218219,"Manayunk Ave & Krams Ave, Philadelphia, PA 19128, USA",OK
2b482275-8f96-49e1-a1b8-4aeddadf73fa,fd9a844e-f9c6-4428-b3b8-0d566550b765,"Or Ami, Ivy Ridge Jewish Community Center",Ridge Pike between Harts Lane and Barren Hill Road; Lafayette Hills,Philadelphia,PA,19444,1961.0,1963.0,other_addresses,40.0781133,-75.2577579,"Harts Ln & Barren Hill Rd, Whitemarsh Township, PA 19444, USA",OK
