synagogue_name,street_address,neighborhood,city,state,full_address,is_current,address_order
Beth HaMedrash,200 Haverford Rd,Main Line,Philadelphia,PA,"200 Haverford Rd, Philadelphia, PA",True,0
Beth HaMedrash,7505 Brookhaven Rd,Overbrook Park,Philadelphia,PA,"7505 Brookhaven Rd, Philadelphia, PA",False,1
Beth HaMedrash Anshe Kaneau,1924-6 S. 6th St,South Philly,Philadelphia,PA,"1924-6 S. 6th St, Philadelphia, PA",True,0
Beth HaMedrash Dorshe Sholom,3046-8 Berks St,Strawberry Mansion,Philadelphia,PA,"3046-8 Berks St, Philadelphia, PA",True,0
"Beth HaMedrash HaGadol Nusach Ashkenaz.         Also see, [The] Khelmer Shul",4th & Wharton Sts,South Philly,Philadelphia,PA,"4th & Wharton Sts, Philadelphia, PA",True,0
"Beth HaMedrash Hangdog Anshe Ashkenaz.         See, Jewish Rumanian Congregation -               Agudas Achim",426 Spruce St,South Philly,Philadelphia,PA,"426 Spruce St, Philadelphia, PA",True,0
Beth HaMedrash Hare,5601 Woodcrest Ave,Wynnefield,Philadelphia,PA,"5601 Woodcrest Ave, Philadelphia, PA",True,0
Beth HaMedrash Reb Sofronski,3rd & McKean Sts,South Philly,Philadelphia,PA,"3rd & McKean Sts, Philadelphia, PA",True,0
Beth HaMedrosh (mid- town Chapel),1211 Chestnut St,Center City,Philadelphia,PA,"1211 Chestnut St, Philadelphia, PA",True,0
Beth HaMedrosh Hagodol-Beth Yaacov,6018 Larchwood Ave,SW Philly,Philadelphia,PA,"6018 Larchwood Ave, Philadelphia, PA",True,0
Beth Hillel-Beth El,1001 Rimmington Rd,Wynnewood,Philadelphia,PA,"1001 Rimmington Rd, Philadelphia, PA",True,0
Beth Israel,417 Pine St,Old City,Philadelphia,PA,"417 Pine St, Philadelphia, PA",True,0
Beth Israel,Balwynne Park,Wynnefield,Philadelphia,PA,"Balwynne Park, Philadelphia, PA",True,0
Beth Israel,32nd St & Montgomery Ave,Strawberry Mansion,Philadelphia,PA,"32nd St & Montgomery Ave, Philadelphia, PA",True,0
Beth Israel Congregation of Chester County,385 Pottstown Pike,Eagle Coatesville,Philadelphia,PA,"385 Pottstown Pike, Philadelphia, PA",True,0
Beth Israel Congregation of Chester County,5th Ave & Harmony St,,Philadelphia,PA,"5th Ave & Harmony St, Philadelphia, PA",False,1
Beth Israel of Media,542 S New,Media,Philadelphia,PA,"542 S New, Philadelphia, PA",True,0
Beth Israel of Media,Middleton Rd,,Philadelphia,PA,"Middleton Rd, Philadelphia, PA",False,1
Beth Jacob,1706-8 South St.,South Philly,Philadelphia,PA,"1706-8 South St., Philadelphia, PA",True,0
Beth Jacob,6027-9 Chestnut St,West Philly,Philadelphia,PA,"6027-9 Chestnut St, Philadelphia, PA",True,0
Beth Jacob Anshe Dadmoor,6th & Wolf St (SW corner),South Philly,Philadelphia,PA,"6th & Wolf St (SW corner), Philadelphia, PA",True,0
Beth Jacob Anshe,414 Christian St,South Philly,Philadelphia,PA,"414 Christian St, Philadelphia, PA",True,0
Beth Jacob of West Philadelphia [Chevra],4008-10 Poplar St,West Philly,Philadelphia,PA,"4008-10 Poplar St, Philadelphia, PA",True,0
Beth Judah,4820 N. 11th St,Logan,Philadelphia,PA,"4820 N. 11th St, Philadelphia, PA",True,0
Beth Judah,232 Lombard St,Old City,Philadelphia,PA,"232 Lombard St, Philadelphia, PA",True,0
"Beth Judah. Also, Hebrew Congregation of West Philadelphia",5426 Sansom St,West Philly,Philadelphia,PA,"5426 Sansom St, Philadelphia, PA",True,0
Beth Or Reform Congregation,239 Welsh Rd.,Maple Glen Spring House,Philadelphia,PA,"239 Welsh Rd., Philadelphia, PA",True,0
Beth Or Reform Congregation,Pennilyn Pike & Dager Rd.,Mount Airy,Philadelphia,PA,"Pennilyn Pike & Dager Rd., Philadelphia, PA",False,1
Beth Or Reform Congregation,500 E. Mt Pleasant Ave,,Philadelphia,PA,"500 E. Mt Pleasant Ave, Philadelphia, PA",False,2
"Beth Schmuel. Also, Beth Samuel; Bes Schmuel",Ritner & Marshall Sts,South Philly,Philadelphia,PA,"Ritner & Marshall Sts, Philadelphia, PA",True,0
"Beth Sholom.                                                                       Also, Logan Congregation Ahavas Israel",8231 Old York Rd.,Elkins Park Logan,Philadelphia,PA,"8231 Old York Rd., Philadelphia, PA",True,0
"Beth Sholom.                                                                       Also, Logan Congregation Ahavas Israel",Broad & Cortland Sts,,Philadelphia,PA,"Broad & Cortland Sts, Philadelphia, PA",False,1
Beth Solomon,601 E. Mt Pleasant Ave,Mount Airy,Philadelphia,PA,"601 E. Mt Pleasant Ave, Philadelphia, PA",True,0
Beth Solomon Suburban (of Somerton),198 Tomlinson Rd,Northeast Philly,Philadelphia,PA,"198 Tomlinson Rd, Philadelphia, PA",True,0
"Beth Solomon.                                                                  Also, Beth Shloime Rumanian Congregation",601 E Sedgewick St 2300 S. 6th St,Mount Airy South Philly,Philadelphia,PA,"601 E Sedgewick St 2300 S. 6th St, Philadelphia, PA",True,0
"Beth Solomon.                                                                  Also, Beth Shloime Rumanian Congregation",(at Wolf St),,Philadelphia,PA,"(at Wolf St), Philadelphia, PA",False,1
Beth Tefilath Israel,3911 Powelton Ave,West Philly,Philadelphia,PA,"3911 Powelton Ave, Philadelphia, PA",True,0
Beth Tfilla of Overbrook Park,7630 Woodbine Ave,Overbrook Park,Philadelphia,PA,"7630 Woodbine Ave, Philadelphia, PA",True,0
Beth Tikvah-B'nai,1001 Paper Mill Rd,Erdenheim,Philadelphia,PA,"1001 Paper Mill Rd, Philadelphia, PA",True,0
Beth Torah [Temple],608 Welsh Rd,Northeast Philly,Philadelphia,PA,"608 Welsh Rd, Philadelphia, PA",True,0
Beth Tovim,NE Corner 59th St & Drexel Rd,Wynnefield,Philadelphia,PA,"NE Corner 59th St & Drexel Rd, Philadelphia, PA",True,0
Beth Uziel,41 E. Wyoming Ave,Feltonville,Philadelphia,PA,"41 E. Wyoming Ave, Philadelphia, PA",True,0
Beth Zion-Beth Israel [Temple],300 South 18th St,Center City,Philadelphia,PA,"300 South 18th St, Philadelphia, PA",True,0
Bialostotski Minyan,1410 S 5th St,South Philly,Philadelphia,PA,"1410 S 5th St, Philadelphia, PA",True,0
Bikur Cholim [Chevra ],"Mercantile Hall,",Marshall St,Philadelphia,PA,"Mercantile Hall,, Philadelphia, PA",True,0
Bikur Cholim [Chevra ],Franklin & Poplar Sts,,Philadelphia,PA,"Franklin & Poplar Sts, Philadelphia, PA",False,1
Birchas Shalom,5820 Woodcrest Ave,Wynnefield,Philadelphia,PA,"5820 Woodcrest Ave, Philadelphia, PA",True,0
B'nai Aaron,53rd & Euclid Sts 1713 Georges Lane,Wynnefield Wynnefield,Philadelphia,PA,"53rd & Euclid Sts 1713 Georges Lane, Philadelphia, PA",True,0
B'nai Aaron of Parkside,1713 N. 42nd St,West Philly,Philadelphia,PA,"1713 N. 42nd St, Philadelphia, PA",True,0
B'nai Abraham,3040 N.22nd St,West Philly,Philadelphia,PA,"3040 N.22nd St, Philadelphia, PA",True,0
"B'nai Abraham- Anshe Russ.                                       Also, [Chevra] B'nai Abraham; Di Rusishe Shul;",521-27 Lombard St,Old City,Philadelphia,PA,"521-27 Lombard St, Philadelphia, PA",True,0
B'nai Abraham Jewish Center,9037 Eastview St,Northeast Philly,Philadelphia,PA,"9037 Eastview St, Philadelphia, PA",True,0
B'nai David Congregation,418 Lombard St,Old City,Philadelphia,PA,"418 Lombard St, Philadelphia, PA",True,0
B'nai David,3221 W. Clifford St,Strawberry Mansion,Philadelphia,PA,"3221 W. Clifford St, Philadelphia, PA",True,0
B'nai Ephraim,715 Fairmount Ave,Marshall St,Philadelphia,PA,"715 Fairmount Ave, Philadelphia, PA",True,0
"B'nai Halberstam.                                                              Also, Anshe Emet; B'nai Israel-Halberstam; B'nai Israel-Ohev Zedek; B'nai Israel-Ohev Zedek-B'nai Halberstam
",610 N. 6th St (at Green),Northern Liberties,Philadelphia,PA,"610 N. 6th St (at Green), Philadelphia, PA",True,0
